data,semanaEpi,estado,casosAcumulados,obitosAcumulados,recuperados,pop,casosAbertos,casosNovos,obitosNovos
2020-02-26,9,SP,1,0,NA,45919049,NA,1,0
2020-02-27,9,SP,1,0,NA,45919049,NA,0,0
2020-02-28,9,SP,1,0,NA,45919049,NA,0,0
2020-02-29,9,SP,2,0,NA,45919049,NA,1,0
2020-03-01,10,SP,2,0,NA,45919049,NA,0,0
2020-03-02,10,SP,2,0,NA,45919049,NA,0,0
2020-03-03,10,SP,2,0,NA,45919049,NA,0,0
2020-03-04,10,SP,3,0,NA,45919049,NA,1,0
2020-03-05,10,RJ,1,0,NA,17264943,NA,1,0
2020-03-05,10,SP,6,0,NA,45919049,NA,3,0
2020-03-06,10,BA,1,0,NA,14873064,NA,1,0
2020-03-06,10,ES,1,0,NA,4018650,NA,1,0
2020-03-06,10,RJ,1,0,NA,17264943,NA,0,0
2020-03-06,10,SP,10,0,NA,45919049,NA,4,0
2020-03-07,10,DF,1,0,NA,3015268,NA,1,0
2020-03-07,10,BA,2,0,NA,14873064,NA,1,0
2020-03-07,10,ES,1,0,NA,4018650,NA,0,0
2020-03-07,10,RJ,2,0,NA,17264943,NA,1,0
2020-03-07,10,SP,13,0,NA,45919049,NA,3,0
2020-03-08,11,DF,1,0,NA,3015268,NA,0,0
2020-03-08,11,AL,1,0,NA,3337357,NA,1,0
2020-03-08,11,BA,2,0,NA,14873064,NA,0,0
2020-03-08,11,MG,1,0,NA,21168791,NA,1,0
2020-03-08,11,ES,1,0,NA,4018650,NA,0,0
2020-03-08,11,RJ,3,0,NA,17264943,NA,1,0
2020-03-08,11,SP,16,0,NA,45919049,NA,3,0
2020-03-09,11,DF,1,0,NA,3015268,NA,0,0
2020-03-09,11,AL,1,0,NA,3337357,NA,0,0
2020-03-09,11,BA,2,0,NA,14873064,NA,0,0
2020-03-09,11,MG,1,0,NA,21168791,NA,0,0
2020-03-09,11,ES,1,0,NA,4018650,NA,0,0
2020-03-09,11,RJ,3,0,NA,17264943,NA,0,0
2020-03-09,11,SP,16,0,NA,45919049,NA,0,0
2020-03-10,11,DF,1,0,NA,3015268,NA,0,0
2020-03-10,11,AL,1,0,NA,3337357,NA,0,0
2020-03-10,11,BA,2,0,NA,14873064,NA,0,0
2020-03-10,11,MG,1,0,NA,21168791,NA,0,0
2020-03-10,11,ES,1,0,NA,4018650,NA,0,0
2020-03-10,11,RJ,8,0,NA,17264943,NA,5,0
2020-03-10,11,SP,19,0,NA,45919049,NA,3,0
2020-03-10,11,RS,1,0,NA,11377239,NA,1,0
2020-03-11,11,DF,2,0,NA,3015268,NA,1,0
2020-03-11,11,AL,1,0,NA,3337357,NA,0,0
2020-03-11,11,BA,2,0,NA,14873064,NA,0,0
2020-03-11,11,MG,1,0,NA,21168791,NA,0,0
2020-03-11,11,ES,1,0,NA,4018650,NA,0,0
2020-03-11,11,RJ,13,0,NA,17264943,NA,5,0
2020-03-11,11,SP,30,0,NA,45919049,NA,11,0
2020-03-11,11,RS,2,0,NA,11377239,NA,1,0
2020-03-12,11,DF,2,0,NA,3015268,NA,0,0
2020-03-12,11,PE,2,0,NA,9557071,NA,2,0
2020-03-12,11,AL,1,0,NA,3337357,NA,0,0
2020-03-12,11,BA,2,0,NA,14873064,NA,0,0
2020-03-12,11,MG,1,0,NA,21168791,NA,0,0
2020-03-12,11,ES,1,0,NA,4018650,NA,0,0
2020-03-12,11,RJ,16,0,NA,17264943,NA,3,0
2020-03-12,11,SP,42,0,NA,45919049,NA,12,0
2020-03-12,11,PR,6,0,NA,11433957,NA,6,0
2020-03-12,11,RS,4,0,NA,11377239,NA,2,0
2020-03-13,11,GO,3,0,NA,7018354,NA,3,0
2020-03-13,11,DF,2,0,NA,3015268,NA,0,0
2020-03-13,11,RN,1,0,NA,3506853,NA,1,0
2020-03-13,11,PE,2,0,NA,9557071,NA,0,0
2020-03-13,11,AL,1,0,NA,3337357,NA,0,0
2020-03-13,11,BA,2,0,NA,14873064,NA,0,0
2020-03-13,11,MG,2,0,NA,21168791,NA,1,0
2020-03-13,11,ES,1,0,NA,4018650,NA,0,0
2020-03-13,11,RJ,16,0,NA,17264943,NA,0,0
2020-03-13,11,SP,56,0,NA,45919049,NA,14,0
2020-03-13,11,PR,6,0,NA,11433957,NA,0,0
2020-03-13,11,SC,2,0,NA,7164788,NA,2,0
2020-03-13,11,RS,4,0,NA,11377239,NA,0,0
2020-03-14,11,GO,3,0,NA,7018354,NA,0,0
2020-03-14,11,DF,6,0,NA,3015268,NA,4,0
2020-03-14,11,RN,1,0,NA,3506853,NA,0,0
2020-03-14,11,PE,2,0,NA,9557071,NA,0,0
2020-03-14,11,AL,1,0,NA,3337357,NA,0,0
2020-03-14,11,BA,2,0,NA,14873064,NA,0,0
2020-03-14,11,MG,2,0,NA,21168791,NA,0,0
2020-03-14,11,ES,1,0,NA,4018650,NA,0,0
2020-03-14,11,RJ,22,0,NA,17264943,NA,6,0
2020-03-14,11,SP,65,0,NA,45919049,NA,9,0
2020-03-14,11,PR,6,0,NA,11433957,NA,0,0
2020-03-14,11,SC,4,0,NA,7164788,NA,2,0
2020-03-14,11,RS,6,0,NA,11377239,NA,2,0
2020-03-15,12,GO,3,0,NA,7018354,NA,0,0
2020-03-15,12,DF,8,0,NA,3015268,NA,2,0
2020-03-15,12,RN,1,0,NA,3506853,NA,0,0
2020-03-15,12,PE,2,0,NA,9557071,NA,0,0
2020-03-15,12,AL,1,0,NA,3337357,NA,0,0
2020-03-15,12,SE,1,0,NA,2298696,NA,1,0
2020-03-15,12,BA,2,0,NA,14873064,NA,0,0
2020-03-15,12,AM,1,0,NA,4144597,NA,1,0
2020-03-15,12,MG,2,0,NA,21168791,NA,0,0
2020-03-15,12,ES,1,0,NA,4018650,NA,0,0
2020-03-15,12,RJ,24,0,NA,17264943,NA,2,0
2020-03-15,12,SP,136,0,NA,45919049,NA,71,0
2020-03-15,12,PR,6,0,NA,11433957,NA,0,0
2020-03-15,12,SC,6,0,NA,7164788,NA,2,0
2020-03-15,12,RS,6,0,NA,11377239,NA,0,0
2020-03-16,12,MS,2,0,NA,2778986,NA,2,0
2020-03-16,12,GO,3,0,NA,7018354,NA,0,0
2020-03-16,12,DF,13,0,NA,3015268,NA,5,0
2020-03-16,12,RN,1,0,NA,3506853,NA,0,0
2020-03-16,12,PE,2,0,NA,9557071,NA,0,0
2020-03-16,12,AL,1,0,NA,3337357,NA,0,0
2020-03-16,12,SE,1,0,NA,2298696,NA,0,0
2020-03-16,12,BA,2,0,NA,14873064,NA,0,0
2020-03-16,12,AM,1,0,NA,4144597,NA,0,0
2020-03-16,12,MG,5,0,NA,21168791,NA,3,0
2020-03-16,12,ES,1,0,NA,4018650,NA,0,0
2020-03-16,12,RJ,31,0,NA,17264943,NA,7,0
2020-03-16,12,SP,152,0,NA,45919049,NA,16,0
2020-03-16,12,PR,6,0,NA,11433957,NA,0,0
2020-03-16,12,SC,7,0,NA,7164788,NA,1,0
2020-03-16,12,RS,6,0,NA,11377239,NA,0,0
2020-03-17,12,MS,4,0,NA,2778986,NA,2,0
2020-03-17,12,GO,6,0,NA,7018354,NA,3,0
2020-03-17,12,DF,22,0,NA,3015268,NA,9,0
2020-03-17,12,CE,5,0,NA,9132078,NA,5,0
2020-03-17,12,RN,1,0,NA,3506853,NA,0,0
2020-03-17,12,PE,16,0,NA,9557071,NA,14,0
2020-03-17,12,AL,1,0,NA,3337357,NA,0,0
2020-03-17,12,SE,4,0,NA,2298696,NA,3,0
2020-03-17,12,BA,3,0,NA,14873064,NA,1,0
2020-03-17,12,AM,1,0,NA,4144597,NA,0,0
2020-03-17,12,MG,7,0,NA,21168791,NA,2,0
2020-03-17,12,ES,1,0,NA,4018650,NA,0,0
2020-03-17,12,RJ,33,0,NA,17264943,NA,2,0
2020-03-17,12,SP,164,1,NA,45919049,NA,12,1
2020-03-17,12,PR,6,0,NA,11433957,NA,0,0
2020-03-17,12,SC,7,0,NA,7164788,NA,0,0
2020-03-17,12,RS,10,0,NA,11377239,NA,4,0
2020-03-18,12,MS,7,0,NA,2778986,NA,3,0
2020-03-18,12,GO,8,0,NA,7018354,NA,2,0
2020-03-18,12,DF,26,0,NA,3015268,NA,4,0
2020-03-18,12,CE,9,0,NA,9132078,NA,4,0
2020-03-18,12,RN,1,0,NA,3506853,NA,0,0
2020-03-18,12,PE,16,0,NA,9557071,NA,0,0
2020-03-18,12,AL,1,0,NA,3337357,NA,0,0
2020-03-18,12,SE,5,0,NA,2298696,NA,1,0
2020-03-18,12,BA,3,0,NA,14873064,NA,0,0
2020-03-18,12,AM,1,0,NA,4144597,NA,0,0
2020-03-18,12,MG,15,0,NA,21168791,NA,8,0
2020-03-18,12,ES,9,0,NA,4018650,NA,8,0
2020-03-18,12,RJ,45,0,NA,17264943,NA,12,0
2020-03-18,12,SP,240,4,NA,45919049,NA,76,3
2020-03-18,12,PR,13,0,NA,11433957,NA,7,0
2020-03-18,12,SC,10,0,NA,7164788,NA,3,0
2020-03-18,12,RS,19,0,NA,11377239,NA,9,0
2020-03-19,12,MS,7,0,NA,2778986,NA,0,0
2020-03-19,12,GO,12,0,NA,7018354,NA,4,0
2020-03-19,12,DF,42,0,NA,3015268,NA,16,0
2020-03-19,12,CE,20,0,NA,9132078,NA,11,0
2020-03-19,12,RN,1,0,NA,3506853,NA,0,0
2020-03-19,12,PB,1,0,NA,4018127,NA,1,0
2020-03-19,12,PE,28,0,NA,9557071,NA,12,0
2020-03-19,12,AL,4,0,NA,3337357,NA,3,0
2020-03-19,12,SE,6,0,NA,2298696,NA,1,0
2020-03-19,12,BA,30,0,NA,14873064,NA,27,0
2020-03-19,12,AC,3,0,NA,881935,NA,3,0
2020-03-19,12,AM,3,0,NA,4144597,NA,2,0
2020-03-19,12,PA,1,0,NA,8602865,NA,1,0
2020-03-19,12,TO,1,0,NA,1572866,NA,1,0
2020-03-19,12,MG,29,0,NA,21168791,NA,14,0
2020-03-19,12,ES,11,0,NA,4018650,NA,2,0
2020-03-19,12,RJ,65,2,NA,17264943,NA,20,2
2020-03-19,12,SP,286,4,NA,45919049,NA,46,0
2020-03-19,12,PR,23,0,NA,11433957,NA,10,0
2020-03-19,12,SC,20,0,NA,7164788,NA,10,0
2020-03-19,12,RS,28,0,NA,11377239,NA,9,0
2020-03-20,12,MS,9,0,NA,2778986,NA,2,0
2020-03-20,12,MT,1,0,NA,3484466,NA,1,0
2020-03-20,12,GO,15,0,NA,7018354,NA,3,0
2020-03-20,12,DF,87,0,NA,3015268,NA,45,0
2020-03-20,12,PI,3,0,NA,3273227,NA,3,0
2020-03-20,12,CE,55,0,NA,9132078,NA,35,0
2020-03-20,12,RN,1,0,NA,3506853,NA,0,0
2020-03-20,12,PB,1,0,NA,4018127,NA,0,0
2020-03-20,12,PE,30,0,NA,9557071,NA,2,0
2020-03-20,12,AL,5,0,NA,3337357,NA,1,0
2020-03-20,12,SE,6,0,NA,2298696,NA,0,0
2020-03-20,12,BA,33,0,NA,14873064,NA,3,0
2020-03-20,12,RO,1,0,NA,1777225,NA,1,0
2020-03-20,12,AC,7,0,NA,881935,NA,4,0
2020-03-20,12,AM,3,0,NA,4144597,NA,0,0
2020-03-20,12,PA,2,0,NA,8602865,NA,1,0
2020-03-20,12,AP,1,0,NA,845731,NA,1,0
2020-03-20,12,TO,1,0,NA,1572866,NA,0,0
2020-03-20,12,MG,35,0,NA,21168791,NA,6,0
2020-03-20,12,ES,13,0,NA,4018650,NA,2,0
2020-03-20,12,RJ,109,2,NA,17264943,NA,44,0
2020-03-20,12,SP,396,9,NA,45919049,NA,110,5
2020-03-20,12,PR,32,0,NA,11433957,NA,9,0
2020-03-20,12,SC,21,0,NA,7164788,NA,1,0
2020-03-20,12,RS,37,0,NA,11377239,NA,9,0
2020-03-21,12,MS,16,0,NA,2778986,NA,7,0
2020-03-21,12,MT,2,0,NA,3484466,NA,1,0
2020-03-21,12,GO,20,0,NA,7018354,NA,5,0
2020-03-21,12,DF,100,0,NA,3015268,NA,13,0
2020-03-21,12,MA,1,0,NA,7075181,NA,1,0
2020-03-21,12,PI,4,0,NA,3273227,NA,1,0
2020-03-21,12,CE,68,0,NA,9132078,NA,13,0
2020-03-21,12,RN,6,0,NA,3506853,NA,5,0
2020-03-21,12,PB,1,0,NA,4018127,NA,0,0
2020-03-21,12,PE,30,0,NA,9557071,NA,0,0
2020-03-21,12,AL,7,0,NA,3337357,NA,2,0
2020-03-21,12,SE,10,0,NA,2298696,NA,4,0
2020-03-21,12,BA,41,0,NA,14873064,NA,8,0
2020-03-21,12,RO,1,0,NA,1777225,NA,0,0
2020-03-21,12,AC,9,0,NA,881935,NA,2,0
2020-03-21,12,AM,11,0,NA,4144597,NA,8,0
2020-03-21,12,PA,2,0,NA,8602865,NA,0,0
2020-03-21,12,AP,1,0,NA,845731,NA,0,0
2020-03-21,12,TO,2,0,NA,1572866,NA,1,0
2020-03-21,12,MG,38,0,NA,21168791,NA,3,0
2020-03-21,12,ES,26,0,NA,4018650,NA,13,0
2020-03-21,12,RJ,119,3,NA,17264943,NA,10,1
2020-03-21,12,SP,459,15,NA,45919049,NA,63,6
2020-03-21,12,PR,43,0,NA,11433957,NA,11,0
2020-03-21,12,SC,51,0,NA,7164788,NA,30,0
2020-03-21,12,RS,60,0,NA,11377239,NA,23,0
2020-03-22,13,MS,21,0,NA,2778986,NA,5,0
2020-03-22,13,MT,2,0,NA,3484466,NA,0,0
2020-03-22,13,GO,21,0,NA,7018354,NA,1,0
2020-03-22,13,DF,117,0,NA,3015268,NA,17,0
2020-03-22,13,MA,2,0,NA,7075181,NA,1,0
2020-03-22,13,PI,4,0,NA,3273227,NA,0,0
2020-03-22,13,CE,112,0,NA,9132078,NA,44,0
2020-03-22,13,RN,9,0,NA,3506853,NA,3,0
2020-03-22,13,PB,1,0,NA,4018127,NA,0,0
2020-03-22,13,PE,37,0,NA,9557071,NA,7,0
2020-03-22,13,AL,7,0,NA,3337357,NA,0,0
2020-03-22,13,SE,10,0,NA,2298696,NA,0,0
2020-03-22,13,BA,49,0,NA,14873064,NA,8,0
2020-03-22,13,RO,3,0,NA,1777225,NA,2,0
2020-03-22,13,AC,11,0,NA,881935,NA,2,0
2020-03-22,13,AM,26,0,NA,4144597,NA,15,0
2020-03-22,13,RR,2,0,NA,605761,NA,2,0
